BILLING|CURRENCY|AMOUNT|EXPIRED 
|IDR|79977000|31-DEC-23 11.59.00.000000 PM
|IDR|60584000|31-DEC-23 11.59.00.000000 PM
|IDR|392000|31-DEC-23 11.59.00.000000 PM
|IDR|1235000|31-DEC-23 11.59.00.000000 PM
620200300279209|IDR|30868000|31-DEC-23 11.59.00.000000 PM
620201000094088|IDR|3000|31-DEC-23 11.59.00.000000 PM
620210100278245|IDR|411000|31-DEC-23 11.59.00.000000 PM
620201200273224|IDR|3000|31-DEC-23 11.59.00.000000 PM
620191200287491|IDR|33528000|31-DEC-23 11.59.00.000000 PM
620200100113038|IDR|49251000|31-DEC-23 11.59.00.000000 PM
